Date,Open,High,Low,Close,Volume
15-Mar-13,3.73,3.74,3.57,3.62,24934472
14-Mar-13,3.68,3.78,3.62,3.70,28909893
13-Mar-13,3.73,3.73,3.57,3.64,30041968
12-Mar-13,4.02,4.03,3.66,3.73,76974648
11-Mar-13,3.70,4.00,3.67,3.93,90451892
8-Mar-13,3.56,3.60,3.52,3.57,17244900
7-Mar-13,3.52,3.59,3.49,3.53,18864832
6-Mar-13,3.59,3.64,3.48,3.52,22188122
5-Mar-13,3.63,3.65,3.48,3.54,33052301
4-Mar-13,3.53,3.67,3.50,3.64,47933102
1-Mar-13,3.34,3.48,3.31,3.43,27153157
28-Feb-13,3.51,3.59,3.36,3.38,45774340
27-Feb-13,3.44,3.66,3.41,3.52,86331911
26-Feb-13,3.42,3.54,3.26,3.36,59322279
25-Feb-13,3.48,3.69,3.40,3.43,103195041
22-Feb-13,3.06,3.21,3.03,3.19,38503020
21-Feb-13,3.02,3.05,2.84,2.96,48264311
20-Feb-13,3.27,3.30,3.03,3.08,31044304
19-Feb-13,3.27,3.28,3.23,3.25,15499302
15-Feb-13,3.31,3.34,3.17,3.20,27225760
14-Feb-13,3.19,3.28,3.12,3.25,35212127
13-Feb-13,3.30,3.40,3.15,3.17,56992292
12-Feb-13,3.73,3.75,3.24,3.24,90664998
11-Feb-13,3.55,3.75,3.46,3.67,98777816
8-Feb-13,3.12,3.55,3.12,3.43,99140355
7-Feb-13,2.96,3.13,2.86,3.09,52217696
6-Feb-13,2.90,3.12,2.76,2.99,94133770
5-Feb-13,2.74,2.80,2.66,2.74,58873395
4-Feb-13,2.63,2.66,2.54,2.56,12804168
1-Feb-13,2.75,2.78,2.62,2.66,17748804
31-Jan-13,2.55,2.73,2.54,2.71,18879471
30-Jan-13,2.58,2.65,2.52,2.53,16902346
29-Jan-13,2.81,2.82,2.58,2.60,38404195
28-Jan-13,2.51,2.85,2.50,2.84,56202670
25-Jan-13,2.47,2.52,2.45,2.49,11005378
24-Jan-13,2.45,2.54,2.44,2.47,12734329
23-Jan-13,2.46,2.50,2.44,2.45,9911895
22-Jan-13,2.44,2.46,2.40,2.42,17204467
18-Jan-13,2.48,2.53,2.43,2.45,9339576
17-Jan-13,2.60,2.60,2.47,2.49,14353069
16-Jan-13,2.55,2.63,2.54,2.56,12842438
15-Jan-13,2.63,2.67,2.55,2.59,12587604
14-Jan-13,2.64,2.70,2.61,2.62,23849015
11-Jan-13,2.50,2.63,2.47,2.59,34471557
10-Jan-13,2.46,2.53,2.46,2.48,14035735
9-Jan-13,2.50,2.54,2.42,2.44,11538811
8-Jan-13,2.59,2.62,2.48,2.50,14965718
7-Jan-13,2.67,2.76,2.62,2.62,31078747
4-Jan-13,2.43,2.69,2.42,2.63,36848144
3-Jan-13,2.39,2.45,2.35,2.41,13595604
2-Jan-13,2.41,2.45,2.34,2.39,19491339
31-Dec-12,2.32,2.41,2.31,2.36,16260361
28-Dec-12,2.38,2.41,2.32,2.33,12846258
27-Dec-12,2.41,2.44,2.38,2.42,10332897
26-Dec-12,2.35,2.43,2.35,2.39,18409723
24-Dec-12,2.31,2.40,2.30,2.33,6744395
21-Dec-12,2.35,2.35,2.29,2.33,14358935
20-Dec-12,2.40,2.42,2.35,2.38,8150104
19-Dec-12,2.41,2.42,2.38,2.41,13445026
18-Dec-12,2.46,2.46,2.36,2.38,18054545
17-Dec-12,2.54,2.55,2.41,2.44,18127137
14-Dec-12,2.64,2.70,2.50,2.54,15909016
13-Dec-12,2.68,2.73,2.59,2.62,25277021
12-Dec-12,2.46,2.68,2.46,2.62,25127562
11-Dec-12,2.46,2.49,2.41,2.45,10078306
10-Dec-12,2.55,2.56,2.39,2.42,14316304
7-Dec-12,2.55,2.60,2.51,2.55,24657770
6-Dec-12,2.46,2.55,2.42,2.48,41021359
5-Dec-12,2.30,2.35,2.22,2.32,20243337
4-Dec-12,2.29,2.33,2.25,2.25,18026585
