Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
RECN,"Resources Connection, Inc.",13.05,518410010.3,n/a,2000,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/recn
RGDX,"Response Genetics, Inc.",1.31,44865473.43,n/a,2007,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/rgdx
MKTG,"Responsys, Inc.",16.24,834679825.8,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mktg
ROIC,Retail Opportunity Investments Corp.,14.53,1047069360,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/roic
ROICU,Retail Opportunity Investments Corp.,15.4999,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/roicu
ROICW,Retail Opportunity Investments Corp.,2.56,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/roicw
SALE,"RetailMeNot, Inc.",30.67,1550825268,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/sale
RVLT,"Revolution Lighting Technologies, Inc.",2.95,240833790.4,n/a,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/rvlt
REXX,Rex Energy Corporation,18.51,992670383.7,n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rexx
RFIL,"RF Industries, Ltd.",11.05,86817816.8,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/rfil
RFMD,"RF Micro Devices, Inc.",4.93,1391961757,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/rfmd
RGCO,RGC Resources Inc.,18.83,88646555.9,n/a,n/a,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/rgco
RELL,"Richardson Electronics, Ltd.",11.24,158131198.9,n/a,1983,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/rell
RICK,"Rick&#39;s Cabaret International, Inc.",10.14,96369850.2,n/a,1995,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/rick
RIGL,"Rigel Pharmaceuticals, Inc.",2.73,238684833.7,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rigl
RNET,"RigNet, Inc.",41,656369000,n/a,2010,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/rnet
RITT,RIT Technologies Ltd.,2.35,22943562.3,n/a,1997,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/ritt
RIVR,River Valley Bancorp.,28.7,43885342.2,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/rivr
RVBD,"Riverbed Technology, Inc.",17.15,2776885279,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/rvbd
RVSB,Riverview Bancorp Inc,2.73,61348259.7,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/rvsb
RLJE,"RLJ Entertainment, Inc.",4.36,59735758.32,n/a,n/a,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/rlje
RMGN,RMG Networks Holding Corporation,4.95,58259485.35,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/rmgn
ROBO,Robo-Stox Global Robotics and Automation Index ETF,25.4,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/robo
FUEL,Rocket Fuel Inc.,52.21,1713597045,n/a,1986,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fuel
RCKB,"Rockville Financial, Inc.",15.21,394957735.4,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/rckb
RMTI,"Rockwell Medical, Inc.",15,599969415,n/a,1998,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/rmti
RCKY,"Rocky Brands, Inc.",15.29,114926489.9,n/a,1993,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/rcky
RMCF,"Rocky Mountain Chocolate Factory, Inc.",12.76,78038373.6,n/a,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/rmcf
RSTI,"Rofin-Sinar Technologies, Inc.",24.11,680051313.2,n/a,1996,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/rsti
ROIQ,ROI Acquisition Corp. II,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/roiq
ROIQU,ROI Acquisition Corp. II,10.05,125625000,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/roiqu
ROIQW,ROI Acquisition Corp. II,0.5679,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/roiqw
ROMA,Roma Financial Corporation,19.58,590665337,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/roma
ROSG,Rosetta Genomics Ltd.,2.44,23959841.08,n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rosg
ROSE,Rosetta Resources Inc.,53.31,3266175969,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rose
ROST,"Ross Stores, Inc.",81.32,17620688640,n/a,1985,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/rost
ROVI,Rovi Corporation,17.99,1838415532,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/rovi
